Depth,Age,A_curv,A_octon,ActinSpp,A_nodul,CoscinSpp,CyclotSpp,Rop_tess,StephanSpp,Num.counted
2.55,3.57,9,6,36,5,24,14,6,NA,202
2.59,3.6,6,3,44,3,22,18,6,NA,200
2.65,3.65,6,4,31,7,19,31,4,1,200
2.7,3.7,9,7,30,5,17,21,10,NA,212
2.75,3.74,7,4,30,5,17,33,6,NA,200
2.8,3.79,9,4,30,5,13,34,4,NA,256
2.85,3.83,4,8,40,6,15,22,4,NA,250
2.9,3.87,12,4,39,3,18,20,3,NA,250
2.95,3.92,4,7,35,5,15,32,2,NA,264
3,3.96,5,9,30,2,12,39,3,NA,357
3,3.96,6,3,13,2,10,33,33,1,200
3.05,4.01,7,4,26,6,16,34,7,NA,282
3.1,4.05,6,2,30,3,24,26,10,NA,250
